"hr_id","animal_id","species","sex","year","month","season","n_pts","n_days"
"00832_MD15F0025_2019_02","MD15F0025","Mule Deer","F",2019,2,"Winter",640,27.9166666666667
"00833_MD15F0025_2019_07","MD15F0025","Mule Deer","F",2019,7,"Summer",736,30.9166666666667
"00834_MD15F0025_2020_02","MD15F0025","Mule Deer","F",2020,2,"Winter",692,28.9166666666667
"00835_MD15F0025_2020_07","MD15F0025","Mule Deer","F",2020,7,"Summer",682,30.9166666666667
"00836_MD15F0025_2021_02","MD15F0025","Mule Deer","F",2021,2,"Winter",666,27.9166666666667
"00853_MD15F0028_2016_02","MD15F0028","Mule Deer","F",2016,2,"Winter",54,28.1666666666667
"00854_MD15F0028_2016_07","MD15F0028","Mule Deer","F",2016,7,"Summer",56,30.25
"00855_MD15F0028_2017_02","MD15F0028","Mule Deer","F",2017,2,"Winter",54,27.0833333333333
"00856_MD15F0028_2017_07","MD15F0028","Mule Deer","F",2017,7,"Summer",56,29
"00857_MD15F0028_2018_02","MD15F0028","Mule Deer","F",2018,2,"Winter",54,27.125
"00858_MD15F0028_2018_07","MD15F0028","Mule Deer","F",2018,7,"Summer",58,30.25
"00859_MD15F0028_2019_02","MD15F0028","Mule Deer","F",2019,2,"Winter",54,27.125
"00860_MD15F0028_2019_07","MD15F0028","Mule Deer","F",2019,7,"Summer",46,28.1666666666667
"00861_MD15F0028_2020_02","MD15F0028","Mule Deer","F",2020,2,"Winter",54,27.125
"00862_MD15F0028_2020_07","MD15F0028","Mule Deer","F",2020,7,"Summer",56,29.1666666666667
"00863_MD15F0028_2021_02","MD15F0028","Mule Deer","F",2021,2,"Winter",48,26.0833333333333
"00864_MD15F0028_2021_07","MD15F0028","Mule Deer","F",2021,7,"Summer",46,29.2083333333333
"00867_MD15F0029_2016_02","MD15F0029","Mule Deer","F",2016,2,"Winter",104,28.7083333333333
"00868_MD15F0029_2016_07","MD15F0029","Mule Deer","F",2016,7,"Summer",104,29.75
"00869_MD15F0029_2017_02","MD15F0029","Mule Deer","F",2017,2,"Winter",108,27.5833333333333
"00870_MD15F0029_2017_07","MD15F0029","Mule Deer","F",2017,7,"Summer",94,29.5416666666667
"00871_MD15F0029_2018_02","MD15F0029","Mule Deer","F",2018,2,"Winter",106,27.625
"00872_MD15F0029_2018_07","MD15F0029","Mule Deer","F",2018,7,"Summer",108,30.25
"00873_MD15F0029_2019_02","MD15F0029","Mule Deer","F",2019,2,"Winter",624,27.9166666666667
"00874_MD15F0029_2019_07","MD15F0029","Mule Deer","F",2019,7,"Summer",742,30.9166666666667
"00875_MD15F0029_2020_02","MD15F0029","Mule Deer","F",2020,2,"Winter",694,28.9166666666667
"00876_MD15F0029_2020_07","MD15F0029","Mule Deer","F",2020,7,"Summer",702,30.9166666666667
"00877_MD15F0029_2021_02","MD15F0029","Mule Deer","F",2021,2,"Winter",670,27.9166666666667
"00878_MD15F0029_2021_07","MD15F0029","Mule Deer","F",2021,7,"Summer",736,30.9166666666667
"00928_MD15F0041_2016_02","MD15F0041","Mule Deer","F",2016,2,"Winter",110,28.7083333333333
"00929_MD15F0041_2016_07","MD15F0041","Mule Deer","F",2016,7,"Summer",98,30.25
"00930_MD15F0041_2017_02","MD15F0041","Mule Deer","F",2017,2,"Winter",100,27.125
"00931_MD15F0041_2017_07","MD15F0041","Mule Deer","F",2017,7,"Summer",106,30.5833333333333
"00932_MD15F0041_2018_02","MD15F0041","Mule Deer","F",2018,2,"Winter",96,27.125
"00933_MD15F0041_2018_07","MD15F0041","Mule Deer","F",2018,7,"Summer",88,29.2083333333333
"00934_MD15F0041_2019_02","MD15F0041","Mule Deer","F",2019,2,"Winter",646,27.9166666666667
"00935_MD15F0041_2019_07","MD15F0041","Mule Deer","F",2019,7,"Summer",734,30.9166666666667
"00936_MD15F0041_2020_02","MD15F0041","Mule Deer","F",2020,2,"Winter",696,28.9166666666667
"00937_MD15F0041_2020_07","MD15F0041","Mule Deer","F",2020,7,"Summer",686,30.9166666666667
"00938_MD15F0041_2021_02","MD15F0041","Mule Deer","F",2021,2,"Winter",668,27.9166666666667
"00939_MD15F0041_2021_07","MD15F0041","Mule Deer","F",2021,7,"Summer",736,30.9173611111111
"00951_MD15F0043_2016_02","MD15F0043","Mule Deer","F",2016,2,"Winter",62,28.7083333333333
"00952_MD15F0043_2016_07","MD15F0043","Mule Deer","F",2016,7,"Summer",40,29.2083333333333
"00953_MD15F0043_2017_02","MD15F0043","Mule Deer","F",2017,2,"Winter",68,27.125
"00954_MD15F0043_2017_07","MD15F0043","Mule Deer","F",2017,7,"Summer",36,29.5416666666667
"00955_MD15F0043_2018_02","MD15F0043","Mule Deer","F",2018,2,"Winter",78,27.1666666666667
"00956_MD15F0043_2018_07","MD15F0043","Mule Deer","F",2018,7,"Summer",36,29.7083333333333
"00957_MD15F0043_2019_02","MD15F0043","Mule Deer","F",2019,2,"Winter",648,27.9166666666667
"00958_MD15F0043_2019_07","MD15F0043","Mule Deer","F",2019,7,"Summer",734,30.9166666666667
"00959_MD15F0043_2020_02","MD15F0043","Mule Deer","F",2020,2,"Winter",686,28.9166666666667
"00960_MD15F0043_2020_07","MD15F0043","Mule Deer","F",2020,7,"Summer",44,1.75
"00961_MD15F0044_2016_02","MD15F0044","Mule Deer","F",2016,2,"Winter",108,28.7083333333333
"00962_MD15F0044_2016_07","MD15F0044","Mule Deer","F",2016,7,"Summer",100,28.7083333333333
"00963_MD15F0044_2017_02","MD15F0044","Mule Deer","F",2017,2,"Winter",106,27.625
